,lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite,dia
198,-22.727693614285716,-43.38060957142857,Belford Roxo,0.0,6.0,0.0,seg
199,-22.728930025,-43.360634649999994,Belford Roxo,0.0,3.0,1.0,seg
200,-22.75478910714286,-43.40518849285714,Belford Roxo,1.0,12.0,0.0,seg
201,-22.72455335,-43.413140725,Belford Roxo,1.0,6.0,1.0,seg
202,-22.7525739875,-43.3743138875,Belford Roxo,1.0,5.0,2.0,seg
203,-22.74341867777778,-43.41448128888889,Belford Roxo,0.0,6.0,3.0,seg
204,-22.7722829,-43.398626560000004,Belford Roxo,2.0,3.0,0.0,seg
205,-22.725498,-43.336101633333335,Belford Roxo,2.0,4.0,0.0,seg
206,-22.70378455,-43.41357895,Belford Roxo,0.0,1.0,1.0,seg
207,-22.727693614285716,-43.38060957142857,Belford Roxo,2.0,4.0,0.0,qua
208,-22.728930025,-43.360634649999994,Belford Roxo,0.0,3.0,1.0,qua
209,-22.75478910714286,-43.40518849285714,Belford Roxo,4.0,9.0,0.0,qua
210,-22.72455335,-43.413140725,Belford Roxo,1.0,6.0,1.0,qua
211,-22.7525739875,-43.3743138875,Belford Roxo,1.0,5.0,2.0,qua
212,-22.74341867777778,-43.41448128888889,Belford Roxo,0.0,6.0,3.0,qua
213,-22.7722829,-43.398626560000004,Belford Roxo,3.0,2.0,0.0,qua
214,-22.725498,-43.336101633333335,Belford Roxo,0.0,6.0,0.0,qua
215,-22.70378455,-43.41357895,Belford Roxo,0.0,1.0,1.0,qua
216,-22.727693614285716,-43.38060957142857,Belford Roxo,1.0,3.0,0.0,sex
217,-22.728930025,-43.360634649999994,Belford Roxo,0.0,3.0,1.0,sex
218,-22.75478910714286,-43.40518849285714,Belford Roxo,3.0,8.0,1.0,sex
219,-22.72455335,-43.413140725,Belford Roxo,0.0,5.0,1.0,sex
220,-22.7525739875,-43.3743138875,Belford Roxo,3.0,3.0,2.0,sex
221,-22.74341867777778,-43.41448128888889,Belford Roxo,0.0,5.0,3.0,sex
222,-22.7722829,-43.398626560000004,Belford Roxo,1.0,2.0,0.0,sex
223,-22.725498,-43.336101633333335,Belford Roxo,1.0,4.0,0.0,sex
224,-22.70378455,-43.41357895,Belford Roxo,0.0,1.0,1.0,sex
225,-22.727693614285716,-43.38060957142857,Belford Roxo,2.0,4.0,0.0,ter
226,-22.728930025,-43.360634649999994,Belford Roxo,1.0,2.0,1.0,ter
227,-22.75478910714286,-43.40518849285714,Belford Roxo,3.0,8.0,0.0,ter
228,-22.72455335,-43.413140725,Belford Roxo,3.0,3.0,1.0,ter
229,-22.7525739875,-43.3743138875,Belford Roxo,2.0,4.0,2.0,ter
230,-22.74341867777778,-43.41448128888889,Belford Roxo,0.0,5.0,3.0,ter
231,-22.7722829,-43.398626560000004,Belford Roxo,0.0,3.0,0.0,ter
232,-22.725498,-43.336101633333335,Belford Roxo,2.0,4.0,0.0,ter
233,-22.70378455,-43.41357895,Belford Roxo,0.0,1.0,1.0,ter
234,-22.727693614285716,-43.38060957142857,Belford Roxo,1.0,5.0,0.0,qui
235,-22.728930025,-43.360634649999994,Belford Roxo,1.0,2.0,1.0,qui
236,-22.75478910714286,-43.40518849285714,Belford Roxo,4.0,7.0,0.0,qui
237,-22.72455335,-43.413140725,Belford Roxo,3.0,3.0,1.0,qui
238,-22.7525739875,-43.3743138875,Belford Roxo,4.0,2.0,2.0,qui
239,-22.74341867777778,-43.41448128888889,Belford Roxo,0.0,6.0,3.0,qui
240,-22.7722829,-43.398626560000004,Belford Roxo,0.0,3.0,0.0,qui
241,-22.725498,-43.336101633333335,Belford Roxo,3.0,3.0,0.0,qui
242,-22.70378455,-43.41357895,Belford Roxo,0.0,1.0,1.0,qui
243,-22.727693614285716,-43.38060957142857,Belford Roxo,1.0,2.0,0.0,sab
244,-22.728930025,-43.360634649999994,Belford Roxo,0.0,0.0,0.0,sab
245,-22.75478910714286,-43.40518849285714,Belford Roxo,1.0,1.0,0.0,sab
246,-22.72455335,-43.413140725,Belford Roxo,0.0,0.0,0.0,sab
247,-22.7525739875,-43.3743138875,Belford Roxo,0.0,0.0,0.0,sab
248,-22.74341867777778,-43.41448128888889,Belford Roxo,1.0,0.0,0.0,sab
249,-22.7722829,-43.398626560000004,Belford Roxo,1.0,0.0,0.0,sab
250,-22.725498,-43.336101633333335,Belford Roxo,0.0,0.0,0.0,sab
251,-22.70378455,-43.41357895,Belford Roxo,0.0,0.0,0.0,sab
252,-22.79791245,-43.414092725,Nilopolis,0.0,3.0,0.0,seg
253,-22.812713885714285,-43.42784004285714,Nilopolis,0.0,4.0,3.0,seg
254,-22.813666050000002,-43.4010641,Nilopolis,0.0,1.0,1.0,seg
255,-22.8178809125,-43.4162926625,Nilopolis,1.0,5.0,2.0,seg
256,-22.805527875,-43.42163695,Nilopolis,0.0,4.0,0.0,seg
257,-22.803588975,-43.4076073,Nilopolis,1.0,3.0,0.0,seg
258,-22.79791245,-43.414092725,Nilopolis,0.0,3.0,0.0,qua
259,-22.812713885714285,-43.42784004285714,Nilopolis,0.0,4.0,3.0,qua
260,-22.813666050000002,-43.4010641,Nilopolis,0.0,1.0,1.0,qua
261,-22.8178809125,-43.4162926625,Nilopolis,0.0,6.0,2.0,qua
262,-22.805527875,-43.42163695,Nilopolis,1.0,3.0,0.0,qua
263,-22.803588975,-43.4076073,Nilopolis,0.0,3.0,0.0,qua
264,-22.79791245,-43.414092725,Nilopolis,0.0,2.0,1.0,sex
265,-22.812713885714285,-43.42784004285714,Nilopolis,0.0,1.0,4.0,sex
266,-22.813666050000002,-43.4010641,Nilopolis,1.0,0.0,1.0,sex
267,-22.8178809125,-43.4162926625,Nilopolis,0.0,4.0,1.0,sex
268,-22.805527875,-43.42163695,Nilopolis,0.0,3.0,0.0,sex
269,-22.803588975,-43.4076073,Nilopolis,0.0,2.0,0.0,sex
270,-22.79791245,-43.414092725,Nilopolis,0.0,3.0,0.0,ter
271,-22.812713885714285,-43.42784004285714,Nilopolis,0.0,3.0,3.0,ter
272,-22.813666050000002,-43.4010641,Nilopolis,0.0,1.0,1.0,ter
273,-22.8178809125,-43.4162926625,Nilopolis,1.0,5.0,1.0,ter
274,-22.805527875,-43.42163695,Nilopolis,0.0,2.0,0.0,ter
275,-22.803588975,-43.4076073,Nilopolis,2.0,1.0,0.0,ter
276,-22.79791245,-43.414092725,Nilopolis,0.0,3.0,0.0,qui
277,-22.812713885714285,-43.42784004285714,Nilopolis,0.0,4.0,3.0,qui
278,-22.813666050000002,-43.4010641,Nilopolis,1.0,0.0,1.0,qui
279,-22.8178809125,-43.4162926625,Nilopolis,1.0,6.0,1.0,qui
280,-22.805527875,-43.42163695,Nilopolis,0.0,3.0,0.0,qui
281,-22.803588975,-43.4076073,Nilopolis,2.0,1.0,0.0,qui
282,-22.79791245,-43.414092725,Nilopolis,1.0,0.0,0.0,sab
283,-22.812713885714285,-43.42784004285714,Nilopolis,0.0,0.0,0.0,sab
284,-22.813666050000002,-43.4010641,Nilopolis,0.0,0.0,0.0,sab
285,-22.8178809125,-43.4162926625,Nilopolis,0.0,0.0,0.0,sab
286,-22.805527875,-43.42163695,Nilopolis,1.0,0.0,0.0,sab
287,-22.803588975,-43.4076073,Nilopolis,1.0,0.0,0.0,sab
288,-22.796823833333335,-43.43653975,Mesquita,2.0,4.0,0.0,seg
289,-22.78630252857143,-43.42032042857143,Mesquita,1.0,5.0,0.0,seg
290,-22.775145942857144,-43.4341396,Mesquita,0.0,7.0,0.0,seg
291,-22.783532025,-43.4067382,Mesquita,0.0,3.0,1.0,seg
292,-22.771401683333334,-43.422619366666666,Mesquita,1.0,5.0,0.0,seg
293,-22.796823833333335,-43.43653975,Mesquita,1.0,4.0,0.0,qua
294,-22.78630252857143,-43.42032042857143,Mesquita,2.0,4.0,0.0,qua
